"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.9485.1"	"MSTRG.9485"	1.49	1.69	1.64	1.49	2.79	1.78	2.5	1.58	1.47
"MSTRG.9486.1"	"MSTRG.9486"	3.07	3.32	3.97	2.84	5.71	3.46	4.96	2.05	3.99
"MSTRG.9487.1"	"MSTRG.9487"	2.15	1.54	2.46	1.29	2.67	1.14	2	0	1.29
"MSTRG.9488.1"	"MSTRG.9488"	4.68	4.36	5.02	4.36	7.86	5.15	6.74	4.28	4.7
"MSTRG.9489.1"	"MSTRG.9489"	2.78	2.99	3.32	2.62	4.59	3.28	5.02	2.74	2.42
"MSTRG.949.1"	"MSTRG.949"	2.44	3.49	2.48	2.96	5.81	6.39	4.4	12.44	4.64
"MSTRG.9490.1"	"MSTRG.9490"	0.79	0.84	1.3	0.65	1.37	0.84	1.75	0.48	0.78
"MSTRG.9491.1"	"MSTRG.9491"	2.47	2.69	3.23	2.4	6.12	4.62	4.94	3.15	3.7
"MSTRG.9491.2"	"MSTRG.9491"	0.12	0.16	0.13	0.14	0.22	0.26	0.25	0.29	0.22
"MSTRG.9491.3"	"MSTRG.9491"	1.93	2.02	2.2	1.78	3.46	2.34	3.75	1.24	1.64
"MSTRG.9491.4"	"MSTRG.9491"	2.9	3.83	2.49	3.2	6.56	5	8.5	8.14	5.35
"MSTRG.9492.1"	"MSTRG.9492"	27.07	29.15	22.4	27.55	52.09	28.87	52.81	47.75	30.74
"MSTRG.9493.1"	"MSTRG.9493"	6.01	5.38	5.64	5.88	13.77	8.11	12.93	8.97	7.02
"MSTRG.9493.2"	"MSTRG.9493"	0.03	0	0	0.03	0	0	0.26	0.27	0.11
"MSTRG.9494.1"	"MSTRG.9494"	4.94	5.04	5.11	4.91	9.93	5.74	9.48	6.03	5.75
"MSTRG.9494.2"	"MSTRG.9494"	0.2	0.43	0.09	0.13	0.31	0.55	0.27	0.63	0.55
"MSTRG.9495.1"	"MSTRG.9495"	3.65	3.18	3.09	2.93	7.09	4.17	5.79	5.21	3.52
"MSTRG.9496.1"	"MSTRG.9496"	0	0.07	0	0	0	0.1	0.14	0	0.15
"MSTRG.9497.1"	"MSTRG.9497"	4.05	4.39	5.54	3.97	7.72	5.43	6.78	4.8	4.8
