"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.8019.5"	"MSTRG.8019"	454.4	415.59	254.58	365.26	539.1	510.86	695.96	122.31	594.53
"MSTRG.8019.6"	"MSTRG.8019"	473.67	266.02	192.43	319.2	440.83	379.36	383.56	268.11	387.61
"MSTRG.8019.7"	"MSTRG.8019"	449.52	416.18	127.22	389.8	434.41	389.27	385.78	225.64	327.81
"MSTRG.802.1"	"MSTRG.802"	240	208	56	273	230	199	215	341	108
"MSTRG.8020.1"	"MSTRG.8020"	156.96	151.42	77.18	182.84	132.63	47.19	85.67	59.81	93.02
"MSTRG.8020.2"	"MSTRG.8020"	400.04	440.58	214.82	316.16	472.37	359.81	382.33	259.19	298.98
"MSTRG.8021.1"	"MSTRG.8021"	885	979	532	916	1091	918	950	537	730
"MSTRG.8022.1"	"MSTRG.8022"	237	236	110	180	229	161	173	95	135
"MSTRG.8023.1"	"MSTRG.8023"	360	406	255	398	494	395	515	291	390
"MSTRG.8024.1"	"MSTRG.8024"	318	250.6	130	247.26	394	289	359	262	249.44
"MSTRG.8025.1"	"MSTRG.8025"	268	296	147	259	341	291	316	172	230
"MSTRG.8026.1"	"MSTRG.8026"	678	662	405	613	873	565	652	455	539
"MSTRG.8027.1"	"MSTRG.8027"	513.33	596.84	323.4	344.07	355.36	480.73	627.8	365.98	493.38
"MSTRG.8027.2"	"MSTRG.8027"	478.89	367.82	309.07	599.55	819.45	642.91	594.38	446.24	411.58
"MSTRG.8027.3"	"MSTRG.8027"	103.78	102.34	62.52	78.39	71.19	85.36	101.82	88.78	110.05
"MSTRG.8028.1"	"MSTRG.8028"	49	49	32	48	43	57	60	16	29
"MSTRG.8029.1"	"MSTRG.8029"	7885	7159	4093	7292	9719	7098	7529	5156	6609
"MSTRG.803.1"	"MSTRG.803"	55	79	23	65	133	50	63	56	50
"MSTRG.8030.1"	"MSTRG.8030"	24	16	16	27	23	25	23	7	31
"MSTRG.8031.1"	"MSTRG.8031"	32	26	13	29	55	24	30	19	27
"MSTRG.8032.1"	"MSTRG.8032"	823	752	403	834	1229	702	753	556	588
"MSTRG.8033.1"	"MSTRG.8033"	1699	1784	887	1588	1632	1331	1200	1076	1056
"MSTRG.8034.1"	"MSTRG.8034"	446	366	188	410	487	348	413	308	290
